Besoins en Main-d’Œuvre 2024 source France Travail
Top 10 en nombre de projets de recrutement non saisonniers en 2024 par Métier
https://statistiques.pole-emploi.org/bmo/bmo?graph=4&in=2&le=0&tu=10&pp=2024&ss=1
Métier;Projets de recrutement non saisonniers
Aides de cuisine et employés polyvalents de la restauration; 68 360
Agents d'entretien de locaux; 66 460
Aides à domicile et auxiliaires de vie; 57 490
Aides-soignants; 48 710
Serveurs de cafés restaurants; 45 880
Cuisiniers; 37 140
Employés de libre service; 35 030
Personnels de ménage chez des particuliers ; 34 170
Infirmiers et sages-femmes; 33 890
Secrétaires bureautiques et assimilés; 32 830
