uai - identifiant;exercice;Acquisitions d'immobilisations;ANR hors investissements d'avenir;ANR investissements d'avenir;Autres ressources propres;Autres Subventions;Besoin en fonds de roulement;CAF / Produits encaissables;Charges externes;Charges externes / Produits.encaissables;Contrats et prestations de recherche hors ANR;Droits d'inscription;Fonds de roulement net global;Produits de fonctionnement encaissables;Ressources propres / Produits encaissables;Taxe d'apprentissage;Valorisation;rce;vague;Etablissement;commune;academie;region;code de la commune;code de l'academie;code de la region;source;id - paysage;CAF / Acquisitions d'immobilisations;Capacité d'autofinancement;Charges de fonctionnement décaissables;Charges de personnel;Charges de personnel / Produits encaissables;Charges décaissables / Produits.encaissables;Excédent Brut d'Exploitation (EBE);Fonds de roulement en jours de charges décaissables;Formation continue, diplômes propres et VAE;Recettes propres;Ressources propres encaissables;Résultat net comptable;Résultat net comptable hors SIE;Solde budgétaire;Subventions Union Européenne;Subventions de la région;Taux de rémunération des permanents;Trésorerie;Trésorerie en jours de charges décaissables
0060099A;2012;575863.9;0.0;0.0;309531.3;432570.04;;;1947631.78;60.3845599695661;11283.38;;1005239.3;3225380.43;37.6781423579233;;;;Vague C;Observatoire de la Côte d'Azur;Nice;Nice;Provence-Alpes-Côte d'Azur;06088;A23;R93;Comptes financiers;8JlNN;;;3337957.79;751470.13;23.2986510059528;103.490359120211;252853.86;108.415435654746;;1215263.43;1215263.43;150569.4;;;;139202.77;;1876698.79;202.40266860894
0060099A;2020;698560.0;688116.0;102052.0;147463.0;582909.0;-823475.0;20.3657718186515;;;234532.0;;1860512.0;3574797.0;44.6802433816522;;;;Vague C;Observatoire de la Côte d'Azur;Nice;Nice;Provence-Alpes-Côte d'Azur;06088;A23;R93;Comptes financiers;8JlNN;104.219394182318;728035.0;2846762.0;1132129.0;31.6697423657903;79.6342281813485;;235.279352471334;;2825603.0;1597228.0;25415.0;25415.0;1321593.0;605323.0;465208.0;;2683987.0;339.415560556169
0060931E;2011;9789563.53;0.0;0.0;3250023.52;2582406.79;;2.10573748719141;27765130.74;13.1923780683179;4055932.31;6063817.88;6220789.82000005;210463425.14;15.593884556506;1362325.68;16845.36;2010;Vague C;Université NICE - SOPHIA-ANTIPOLIS;Nice;Nice;Provence-Alpes-Côte d'Azur;06088;A23;R93;Comptes financiers;7CYWd;45.2707337402612;4431807.24000002;206031617.9;170409937.19;80.9689080545199;97.8942625128086;14312862.18;10.8696148582737;5352681.31;32819423.55;32819423.55;671059.510000017;;;6137160.62;1223842.46;80.6348466994942;16796518.4;29.3486343777335
0060931E;2016;10533284.0;;;;;-13023803.0;2.08270815807649;;;;;10824765.0;220198254.0;15.9748605454428;;;2010;Vague C;Université NICE - SOPHIA-ANTIPOLIS;Nice;Nice;Provence-Alpes-Côte d'Azur;06088;A23;R93;Comptes financiers;7CYWd;43.5390045497681;4586087.0;215612167.0;184076666.0;83.595879011829;97.9172918419235;;18.0737267948334;;35176364.0;35176364.0;1814385.0;1814385.0;;;;82.4390731887327;23848568.0;39.8191094661184
0060931E;2019;20499796.0;2242120.0;368169.0;7040688.0;20917335.0;-10869534.0;5.09488106106678;;;510169.0;5701819.0;25827708.0;229201484.0;16.9173939554423;1136564.0;1305577.0;2010;Vague C;Université NICE - SOPHIA-ANTIPOLIS;Nice;Nice;Provence-Alpes-Côte d'Azur;06088;A23;R93;Comptes financiers;7CYWd;56.9641912534154;11677543.0;217523940.0;180462504.0;78.7353122024288;94.9051185026359;;42.7446049386564;5776260.0;52114763.0;38774918.0;8496466.0;8496466.0;8889661.0;5367684.0;1748378.0;85.2255165896461;36697242.0;60.7335777386158
0062205P;2021;19667011.0;2342505.0;29054794.0;6179378.0;27444037.0;-52501284.0;3.47194842623327;;;449108.0;4239638.0;29748625.0;268118326.0;23.0056057413994;986243.0;1768515.0;2019;Vague C;EPE université Côte d’Azur;Nice;Nice;Provence-Alpes-Côte d'Azur;06088;A23;R93;Comptes financiers;s3t8T;47.3327136492678;9308930.0;258809396.0;209561341.0;78.1600214078615;96.5280515737667;;41.3798925600058;5592372.0;85273132.0;61682245.0;5262351.0;5262351.0;16444358.0;1056075.0;6160467.0;76.3160647004438;82249909.0;114.408393580888
0101060Y;2013;;977097.37;94074.89;968533.99;2637656.72;808547.95;4.132469827;6144905.76;18.6430329;795020.52;1058976.26;6086414.58;32960869.58;31.42871193;559441.3;7281.41;2009;Vague C;Université de technologie TROYES;Troyes;Reims;Grand Est;10387;A19;R44;Comptes financiers;8tVLr;;1362097.99;31556553.29;24828292.71;75.32657065;95.73944405;1713282.72;69.4343653;430728.33;10359176.75;10359176.75;254714.99;;;1104978.59;1725387.37;49.9906964827448;5277866.63;60.21037752
0101060Y;2014;3215054.0;1156148.78;209624.82;1277262.94;2646389.78;925552.31;3.970988391;5826853.42;16.64945559;1160471.76;1113295.23;6230283.13;34997260.96;36.03218145;571308.16;13939.71;2009;Vague C;Université de technologie TROYES;Troyes;Reims;Grand Est;10387;A19;R44;Comptes financiers;8tVLr;43.2259302643128;1389737.17;33600723.79;25597107.32;73.14031618;96.00958152;3017869.91;66.75159561;329555.88;12610276.57;12610276.57;369764.18;;;1862781.0;2257452.26;52.6979936110282;5304730.82;56.83517734
0130221V;2016;233248.0;;;;;-835816.0;7.41846616956106;;;;;2960383.0;4640865.0;56.9901085250271;;;;Vague C;Institut d'études politiques AIX-EN-PROVENCE;Aix-en-Provence;Aix-Marseille;Provence-Alpes-Côte d'Azur;13001;A02;R93;Comptes financiers;G8QBG;147.60298051859;344281.0;4296584.0;2420173.0;52.1491790862264;92.5815338304389;;248.043068633128;;2644834.0;2644834.0;9664.0;9664.0;184714.0;;;;3796199.0;318.07399552761
0133774G;2012;897468.22;0.0;0.0;767253.65;3503756.07;;8.97073326309122;5876289.5;72.3407688724961;143812.57;217368.0;1750572.21;8123067.52;64.7620065578379;450291.03;;2014;Vague C;Ecole centrale de Marseille;Marseille 13e;Aix-Marseille;Provence-Alpes-Côte d'Azur;13213;A02;R93;Comptes financiers;1tI7C;81.1949330083241;728698.719999999;7394368.8;1338980.18;16.4836766000438;91.0292667369088;793760.499999999;85.2278284523758;18033.92;5260661.52;5260661.52;236591.839999999;;;40606.0;93656.91;;2953978.48;143.81650166002
0133774G;2013;687230.28;74082.43;0.0;656982.22;3562109.82;;16.27234353;5788884.64;68.0221633;426331.33;263604.67;2837131.99;8510291.88;67.67383494;480650.61;;2014;Vague C;Ecole centrale de Marseille;Marseille 13e;Aix-Marseille;Provence-Alpes-Côte d'Azur;13213;A02;R93;Comptes financiers;1tI7C;201.5079909;1384823.93;7125467.95;1126795.77;13.24038924;83.72765647;1670399.22;143.3404127;37094.2;5759240.88;5759240.88;899673.92;;;124805.0;72754.09;;4472778.58;225.9781814
0134009M;2014;76234285.03;1811528.0;14152623.92;9278913.23;14633794.42;-90582179.55;2.374545188;75881421.56;12.96229016;3488862.35;10345540.36;563098840.3;585401349.7;17.41002925;3019658.84;936555.71;2012;Vague C;Université AIX MARSEILLE;Marseille  7e;Aix-Marseille;Provence-Alpes-Côte d'Azur;13207;A02;R93;Comptes financiers;xJdyB;18.23407877;13900619.58;571634943.1;482518659.4;82.4252728;97.64838148;24732517.57;354.6241967;16202761.14;101918546.2;101918546.2;1252536.0;;;6161015.78;5372307.84;82.4487961383756;653681019.8;411.6703675
0134009M;2018;98004220.0;12638975.0;39704966.0;22560978.0;41123170.0;-154148045.0;3.27653223445288;;;952061.0;9032702.0;45258397.0;634890534.0;20.0909659491001;3369709.0;2685107.0;2012;Vague C;Université AIX MARSEILLE;Marseille  7e;Aix-Marseille;Provence-Alpes-Côte d'Azur;13207;A02;R93;Comptes financiers;xJdyB;21.2260176143435;20802393.0;614088151.0;500350155.0;78.8088856590198;96.7234693406218;;26.5320587825509;21960110.0;169100885.0;127555641.0;7922741.0;7697878.0;7520574.0;4167352.0;10905755.0;82.3711227484888;199406442.0;116.89904617619
