Année;Organisme;Libellé organisme;Statut regroupé;Statut/Nature de contrat;Type d'emploi;Effectif au 31/12 (en ETPT);Libellé actuel de l'organisme;ROR;UAI;Paysage;Wikidata;SIREN
2014;CNRS;Centre national de la recherche scientifique;Non permanents;CDD doctorants, contrats doctoraux;Emplois sous plafond;380.0;Centre national de la recherche scientifique;02feahw73;0753639Y;n2X5f;Q280413;180089013
2014;CNRS;Centre national de la recherche scientifique;Permanents;CDI;Emplois sous plafond;83.0;Centre national de la recherche scientifique;02feahw73;0753639Y;n2X5f;Q280413;180089013
2014;CNRS;Centre national de la recherche scientifique;Non permanents;Stagiaires rémunérés;Emplois hors plafond;1450.0;Centre national de la recherche scientifique;02feahw73;0753639Y;n2X5f;Q280413;180089013
2014;CNRS;Centre national de la recherche scientifique;Non permanents;Stagiaires rémunérés;Emplois sous plafond;0.0;Centre national de la recherche scientifique;02feahw73;0753639Y;n2X5f;Q280413;180089013
2014;INED;Institut national d'études démographiques;Non permanents;CDD doctorants, contrats doctoraux;Emplois hors plafond;9.54;Institut national d'études démographiques;02cnsac56;"0932770F;0755360U";WuERk;Q3152388;180037020
2014;INED;Institut national d'études démographiques;Permanents;Fonctionnaires, titulaires d'autres organismes accueillis sur emploi;Emplois sous plafond;2.08;Institut national d'études démographiques;02cnsac56;"0932770F;0755360U";WuERk;Q3152388;180037020
2014;INED;Institut national d'études démographiques;Non permanents;Stagiaires rémunérés;Emplois sous plafond;0.0;Institut national d'études démographiques;02cnsac56;"0932770F;0755360U";WuERk;Q3152388;180037020
2014;INRA;Institut national de la recherche agronomique;Non permanents;Apprentis;Emplois sous plafond;54.7554166667;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;01x3gbx83;0755361V;t4SA4;Q1665106;180070039
2014;INRA;Institut national de la recherche agronomique;Non permanents;Autres CDD, hors chercheurs;Emplois sous plafond;178.316666667;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;01x3gbx83;0755361V;t4SA4;Q1665106;180070039
2014;INRA;Institut national de la recherche agronomique;Non permanents;CDD handicap;Emplois hors plafond;0.0;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;01x3gbx83;0755361V;t4SA4;Q1665106;180070039
2014;INRA;Institut national de la recherche agronomique;Permanents;Fonctionnaires, titulaires d'autres organismes accueillis sur contrat;Emplois sous plafond;49.0411666667;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;01x3gbx83;0755361V;t4SA4;Q1665106;180070039
2014;INRIA;Institut national de recherche en informatique et en automatique;Non permanents;CDD doctorants, contrats doctoraux;Emplois hors plafond;352.0;Institut national de recherche en informatique et en automatique;02kvxyf05;0780491K;E1Wdn;Q1146208;180089047
