annee,anne_scolaire,source,source_enquete,champ_geo,champ_etab,disc_droit_sc_po_sc_eco,disc_lettres_shs,disc_theologie,disc_sciences,disc_medecine_odontologie,disc_pharmacie,disc_staps,disc_iut,disc_iufm,disc_total,note
1899,1899-00,"Annuaire statistique de la France, 1966",Enquête BUS au 30 juin,France (y compris Université d'Alger),,9709,3476,159,3857,8781,3395,,,,29377,
1900,1900-01,"Annuaire statistique de la France, 1966",Enquête BUS au 30 juin,France (y compris Université d'Alger),,10152,3723,142,3910,8627,3347,,,,29901,
1901,1901-02,"Annuaire statistique de la France, 1966",Enquête BUS au 30 juin,France (y compris Université d'Alger),,10472,3901,127,4107,8417,3346,,,,30370,
1902,1902-03,"Annuaire statistique de la France, 1966",Enquête BUS au 30 juin,France (y compris Université d'Alger),,10930,4142,110,4401,8104,3590,,,,31277,
1903,1903-04,"Annuaire statistique de la France, 1966",Enquête BUS au 30 juin,France (y compris Université d'Alger),,11473,4384,117,4765,8244,3424,,,,32407,
1904,1904-05,"Annuaire statistique de la France, 1966",Enquête BUS au 30 juin,France (y compris Université d'Alger),,12528,4519,101,5152,8184,3134,,,,33618,
1905,1905-06,"Annuaire statistique de la France, 1966",Enquête BUS au 30 juin,France (y compris Université d'Alger),,14312,4893,71,5592,8111,2691,,,,35670,
1906,1906-07,"Annuaire statistique de la France, 1966",Enquête BUS au 30 juin,France (y compris Université d'Alger),,15551,5710,,6349,8297,2290,,,,38197,
1907,1907-08,"Annuaire statistique de la France, 1966",Enquête BUS au 30 juin,France (y compris Université d'Alger),,16315,6201,,6258,9084,2032,,,,39890,
1908,1908-09,"Annuaire statistique de la France, 1966",Enquête BUS au 30 juin,France (y compris Université d'Alger),,17046,6216,,6408,9207,1890,,,,40767,
1909,1909-10,"Annuaire statistique de la France, 1966",Enquête BUS au 30 juin,France (y compris Université d'Alger),,16915,6363,,6287,9721,1758,,,,41044,
1910,1910-11,"Annuaire statistique de la France, 1966",Enquête BUS au 30 juin,France (y compris Université d'Alger),,17292,6237,,6096,9933,1632,,,,41190,
1911,1911-12,"Annuaire statistique de la France, 1966",Enquête BUS au 30 juin,France (y compris Université d'Alger),,17027,6309,,6463,9787,1608,,,,41194,
1912,1912-13,"Annuaire statistique de la France, 1966",Enquête BUS au 30 juin,France (y compris Université d'Alger),,16763,6398,,6639,9744,1565,,,,41109,
1913,1913-14,"Annuaire statistique de la France, 1966",Enquête BUS au 30 juin,France (y compris Université d'Alger),,16465,6586,,7330,10045,1611,,,,42037,
1914,1914-15,"Annuaire statistique de la France, 1966",Enquête BUS au 30 juin,France (y compris Université d'Alger),,3213,1916,,2731,2944,427,,,,11231,
1915,1915-16,"Annuaire statistique de la France, 1966",Enquête BUS au 30 juin,France (y compris Université d'Alger),,3503,2417,,2727,3263,656,,,,12566,
1916,1916-17,"Annuaire statistique de la France, 1966",Enquête BUS au 30 juin,France (y compris Université d'Alger),,3566,2891,,3585,3375,704,,,,14121,
1917,1917-18,"Annuaire statistique de la France, 1966",Enquête BUS au 30 juin,France (y compris Université d'Alger),,4742,3262,,4484,5806,1087,,,,19381,
1918,1918-19,"Annuaire statistique de la France, 1966",Enquête BUS au 30 juin,France (y compris Université d'Alger),,7735,6339,,5979,8269,1568,,,,29890,
1919,1919-20,"Annuaire statistique de la France, 1966",Enquête BUS au 30 juin,France (y compris Université d'Alger),,13948,6355,179,10517,11987,2128,,,,45114,
1920,1920-21,"Annuaire statistique de la France, 1966",Enquête BUS au 30 juin,France (y compris Université d'Alger),,17376,7892,204,10918,11344,2197,,,,49931,
1921,1921-22,"Annuaire statistique de la France, 1966",Enquête BUS au 30 juin,France (y compris Université d'Alger),,17926,8299,218,10863,11169,2431,,,,50906,
1922,1922-23,"Annuaire statistique de la France, 1966",Enquête BUS au 30 juin,France (y compris Université d'Alger),,17197,8881,217,10419,10926,2727,,,,50367,
