annee,annee_scolaire,source,statut_pu,statut_pu_sl,statut_ma_mcf,statut_mcf_sl,statut_assistant_hors_medecine,statut_chefs_clinique,statut_assistant_total,statut_ma_assistant_total,statut_ens_associes_inclus_mcf_pu,statut_ens_associes,statut_ens_chercheurs,statut_2d_sup,statut_lecteurs,statut_autres,statut_ater,statut_moniteur_doctorant_contractuel,statut_ater_moniteur,statut_contractuels_lru,statut_contractuels_2d,statut_total_non_titulaires,statut_total
1928,1928-29,TS 1511,723,,,,291,,291,291,,,1014,,,,,,,,,,1014
1949,1949-50,TS 1511 / A. Prost,1345,,,,1060,,1060,1060,,,2405,,,,,,,,,,2405
1953,1953-54,TS 0255,,,,,,,,,,,,,,,,,,,,,3600
1954,1954-55,TS 0255,,,,,,,,,,,,,,,,,,,,,3781
1955,1955-56,TS 0255,,,,,,,,,,,,,,,,,,,,,4080
1956,1956-57,TS 0255,,,,,,,,,,,,,,,,,,,,,5147
1957,1957-58,TS 0255 / TS 1511 / A. Prost,2937,,,,1582,,1582,1582,,,4519,,,,,,,,,,5651
1958,1958-59,TS 0255,,,,,,,,,,,0,,,,,,,,,,6128
1959,1959-60,A. Prost,3067,,,,2496,1604,4100,4100,,,7167,,,,,,,,,,7167
1960,1960-61,TS 1511 / A. Prost,3585,,,,,,,3551,,,7136,,,,,,,,,,7901
1961,1961-62,TS 1455,3996,,,,,,,6404,,,10400,,,,,,,,,,10400
1962,1962-63,TS 1455,4439,,,,,,,7897,,,12336,,,,,,,,,,12336
1963,1963-64,TS 1455,4903,,,,,,,10195,,,15098,,,,,,,,,,15098
1964,1964-65,TS 2680,5218,,,,,,,11521,,,16739,,,,,,,,,,16739
1965,1965-66,TS 2680,5528,,3930,,5185,3857,9042,12972,,,18500,,,,,,,,,,18500
1966,1966-67,TS 4291 / TS 3950,6082,,4700,,,,10182,14882,,,20964,,,,,,,,,,20964
1967,1967-68,TS 4291 / TS 3950,6550,,5468,,,,11567,17035,,,23585,,,,,,,,,,23585
1968,1968-69,SE 70.3,7141,,6603,,9375,4122,13497,20100,,,27241,633,,,,,,,,,27874
1969,1969-70,SE 71.3,7833,,7527,,10344,4389,14733,22260,,,30093,1205,,,,,,,,,31298
1970,1970-71,SE 72.3,8516,,8524,,11458,5149,16607,25131,,,33647,1490,,,,,,,,,35137
1971,1971-72,SE 73.3,9060,,9434,,,,16613,26047,,,35107,2075,,,,,,,,,37182
