"Rentrée";"Personnel";"etablissement_type";"Catégorie";"Corps";"code_corps";"Filière";"Sexe";"Effectif"
2015;"contractuels";"Autre établissement";"A";"Assistants ingénieurs";"ASI";"Ingénieurs et techniciens de recherche et de formation";"Femme";83
2015;"contractuels";"Autre établissement";"A";"Assistants ingénieurs";"ASI";"Ingénieurs et techniciens de recherche et de formation";"Homme";38
2015;"contractuels";"Autre établissement";"A";"Attachés d'administration de l'Etat";"AAE";"Administrative";"Femme";6
2015;"contractuels";"Autre établissement";"A";"Attachés d'administration de l'Etat";"AAE";"Administrative";"Homme";4
2015;"contractuels";"Autre établissement";"A";"Bibliothécaires";"BIB";"Bibliothèque";"Femme";3
2015;"contractuels";"Autre établissement";"A";"Bibliothécaires";"BIB";"Bibliothèque";"Homme";1
2015;"contractuels";"Autre établissement";"A";"Conservateurs des bibliothèques";"CONSER.";"Bibliothèque";"Femme";2
2015;"contractuels";"Autre établissement";"A";"Conservateurs des bibliothèques";"CONSER.";"Bibliothèque";"Homme";0
2015;"contractuels";"Autre établissement";"A";"Ingénieurs d'études";"IGE";"Ingénieurs et techniciens de recherche et de formation";"Femme";152
2015;"contractuels";"Autre établissement";"A";"Ingénieurs d'études";"IGE";"Ingénieurs et techniciens de recherche et de formation";"Homme";77
2015;"contractuels";"Autre établissement";"A";"Ingénieurs de recherche";"IGR";"Ingénieurs et techniciens de recherche et de formation";"Femme";40
2015;"contractuels";"Autre établissement";"A";"Ingénieurs de recherche";"IGR";"Ingénieurs et techniciens de recherche et de formation";"Homme";29
2015;"contractuels";"Autre établissement";"B";"Bibliothécaires assistants spécialisés";"BIBAS";"Bibliothèque";"Femme";3
2015;"contractuels";"Autre établissement";"B";"Bibliothécaires assistants spécialisés";"BIBAS";"Bibliothèque";"Homme";1
2015;"contractuels";"Autre établissement";"B";"Secrétaires administratifs de l'éducation nationale et de l'enseignement supérieur";"SAENES";"Administrative";"Femme";14
2015;"contractuels";"Autre établissement";"B";"Secrétaires administratifs de l'éducation nationale et de l'enseignement supérieur";"SAENES";"Administrative";"Homme";2
2015;"contractuels";"Autre établissement";"B";"Techniciens de recherche et de formation";"TECH";"Ingénieurs et techniciens de recherche et de formation";"Femme";97
2015;"contractuels";"Autre établissement";"B";"Techniciens de recherche et de formation";"TECH";"Ingénieurs et techniciens de recherche et de formation";"Homme";33
2015;"contractuels";"Autre établissement";"C";"Adjoints administratifs de l'éducation nationale et de l'enseignement supérieur";"ADJAENES";"Administrative";"Femme";11
2015;"contractuels";"Autre établissement";"C";"Adjoints administratifs de l'éducation nationale et de l'enseignement supérieur";"ADJAENES";"Administrative";"Homme";3
2015;"contractuels";"Autre établissement";"C";"Adjoints techniques de recherche et de formation";"ATRF";"Ingénieurs et techniciens de recherche et de formation";"Femme";154
2015;"contractuels";"Autre établissement";"C";"Adjoints techniques de recherche et de formation";"ATRF";"Ingénieurs et techniciens de recherche et de formation";"Homme";48
2015;"contractuels";"Autre établissement";"C";"Adjoints techniques des établissements d'enseignement";"ATEC";"Ouvrière";"Femme";3
2015;"contractuels";"Autre établissement";"C";"Adjoints techniques des établissements d'enseignement";"ATEC";"Ouvrière";"Homme";2
2015;"contractuels";"Autre établissement";"C";"Magasiniers";"MAG";"Bibliothèque";"Femme";5
2015;"contractuels";"Autre établissement";"C";"Magasiniers";"MAG";"Bibliothèque";"Homme";3
2015;"contractuels";"Bibliothèque";"A";"Assistants ingénieurs";"ASI";"Ingénieurs et techniciens de recherche et de formation";"Femme";1
2015;"contractuels";"Bibliothèque";"A";"Assistants ingénieurs";"ASI";"Ingénieurs et techniciens de recherche et de formation";"Homme";2
2015;"contractuels";"Bibliothèque";"A";"Bibliothécaires";"BIB";"Bibliothèque";"Femme";7
2015;"contractuels";"Bibliothèque";"A";"Bibliothécaires";"BIB";"Bibliothèque";"Homme";1
2015;"contractuels";"Bibliothèque";"A";"Ingénieurs d'études";"IGE";"Ingénieurs et techniciens de recherche et de formation";"Femme";0
2015;"contractuels";"Bibliothèque";"A";"Ingénieurs d'études";"IGE";"Ingénieurs et techniciens de recherche et de formation";"Homme";2
2015;"contractuels";"Bibliothèque";"A";"Ingénieurs de recherche";"IGR";"Ingénieurs et techniciens de recherche et de formation";"Femme";1
2015;"contractuels";"Bibliothèque";"A";"Ingénieurs de recherche";"IGR";"Ingénieurs et techniciens de recherche et de formation";"Homme";3
2015;"contractuels";"Bibliothèque";"B";"Bibliothécaires assistants spécialisés";"BIBAS";"Bibliothèque";"Femme";16
2015;"contractuels";"Bibliothèque";"B";"Bibliothécaires assistants spécialisés";"BIBAS";"Bibliothèque";"Homme";8
2015;"contractuels";"Bibliothèque";"B";"Techniciens de recherche et de formation";"TECH";"Ingénieurs et techniciens de recherche et de formation";"Femme";0
2015;"contractuels";"Bibliothèque";"B";"Techniciens de recherche et de formation";"TECH";"Ingénieurs et techniciens de recherche et de formation";"Homme";3
2015;"contractuels";"Bibliothèque";"C";"Adjoints techniques de recherche et de formation";"ATRF";"Ingénieurs et techniciens de recherche et de formation";"Femme";0
2015;"contractuels";"Bibliothèque";"C";"Adjoints techniques de recherche et de formation";"ATRF";"Ingénieurs et techniciens de recherche et de formation";"Homme";3
2015;"contractuels";"Bibliothèque";"C";"Magasiniers";"MAG";"Bibliothèque";"Femme";12
2015;"contractuels";"Bibliothèque";"C";"Magasiniers";"MAG";"Bibliothèque";"Homme";10
2015;"contractuels";"École";"A";"Assistants ingénieurs";"ASI";"Ingénieurs et techniciens de recherche et de formation";"Femme";219
2015;"contractuels";"École";"A";"Assistants ingénieurs";"ASI";"Ingénieurs et techniciens de recherche et de formation";"Homme";116
2015;"contractuels";"École";"A";"Attachés d'administration de l'Etat";"AAE";"Administrative";"Femme";34
2015;"contractuels";"École";"A";"Attachés d'administration de l'Etat";"AAE";"Administrative";"Homme";11
2015;"contractuels";"École";"A";"Bibliothécaires";"BIB";"Bibliothèque";"Femme";1
2015;"contractuels";"École";"A";"Bibliothécaires";"BIB";"Bibliothèque";"Homme";0
2015;"contractuels";"École";"A";"Conseillers techniques de service social des administrations de l'Etat";"CTSSAE";"Sociale et de santé";"Femme";1
2015;"contractuels";"École";"A";"Conseillers techniques de service social des administrations de l'Etat";"CTSSAE";"Sociale et de santé";"Homme";0
2015;"contractuels";"École";"A";"Infirmiers catégorie A";"INF - A";"Sociale et de santé";"Femme";4
2015;"contractuels";"École";"A";"Infirmiers catégorie A";"INF - A";"Sociale et de santé";"Homme";0
2015;"contractuels";"École";"A";"Ingénieurs d'études";"IGE";"Ingénieurs et techniciens de recherche et de formation";"Femme";228
2015;"contractuels";"École";"A";"Ingénieurs d'études";"IGE";"Ingénieurs et techniciens de recherche et de formation";"Homme";235
2015;"contractuels";"École";"A";"Ingénieurs de recherche";"IGR";"Ingénieurs et techniciens de recherche et de formation";"Femme";104
2015;"contractuels";"École";"A";"Ingénieurs de recherche";"IGR";"Ingénieurs et techniciens de recherche et de formation";"Homme";246
2015;"contractuels";"École";"A";"Médecins de prévention";"MED PREV";"Sociale et de santé";"Femme";6
