"Rentrée";"Personnel";"Sexe";"Catégorie";"Grandes.disciplines";"classe_age3";"Effectif"
2012;"non permanents";"Féminin";"ATER";"Droit, économie et gestion";"Non précisé";719
2012;"non permanents";"Féminin";"ATER";"Lettres et sciences humaines";"Non précisé";1114
2012;"non permanents";"Féminin";"ATER";"Pharmacie";"Non précisé";62
2012;"non permanents";"Féminin";"ATER";"Sciences";"Non précisé";700
2012;"non permanents";"Féminin";"DOCT AVEC ENS";"Droit, économie et gestion";"Non précisé";494
2012;"non permanents";"Féminin";"DOCT AVEC ENS";"Lettres et sciences humaines";"Non précisé";915
2012;"non permanents";"Féminin";"DOCT AVEC ENS";"Personnel des grands établissements";"Non précisé";13
2012;"non permanents";"Féminin";"DOCT AVEC ENS";"Pharmacie";"Non précisé";50
2012;"non permanents";"Féminin";"DOCT AVEC ENS";"Sciences";"Non précisé";1631
2012;"non permanents";"Féminin";"DOCT SANS ENS";"Droit, économie et gestion";"Non précisé";298
2012;"non permanents";"Féminin";"DOCT SANS ENS";"Lettres et sciences humaines";"Non précisé";596
2012;"non permanents";"Féminin";"DOCT SANS ENS";"Pharmacie";"Non précisé";83
2012;"non permanents";"Féminin";"DOCT SANS ENS";"Sciences";"Non précisé";1837
2012;"non permanents";"Féminin";"MCF ASS-INV";"Droit, économie et gestion";"Non précisé";197
2012;"non permanents";"Féminin";"MCF ASS-INV";"Lettres et sciences humaines";"Non précisé";267
2012;"non permanents";"Féminin";"MCF ASS-INV";"Pharmacie";"Non précisé";13
2012;"non permanents";"Féminin";"MCF ASS-INV";"Sciences";"Non précisé";65
2012;"non permanents";"Féminin";"PR ASS-INV";"Droit, économie et gestion";"Non précisé";56
2012;"non permanents";"Féminin";"PR ASS-INV";"Lettres et sciences humaines";"Non précisé";57
2012;"non permanents";"Féminin";"PR ASS-INV";"Personnel des grands établissements";"Non précisé";1
2012;"non permanents";"Féminin";"PR ASS-INV";"Pharmacie";"Non précisé";12
2012;"non permanents";"Féminin";"PR ASS-INV";"Sciences";"Non précisé";33
2012;"non permanents";"Masculin";"ATER";"Droit, économie et gestion";"Non précisé";711
2012;"non permanents";"Masculin";"ATER";"Lettres et sciences humaines";"Non précisé";743
2012;"non permanents";"Masculin";"ATER";"Pharmacie";"Non précisé";34
2012;"non permanents";"Masculin";"ATER";"Sciences";"Non précisé";1239
2012;"non permanents";"Masculin";"DOCT AVEC ENS";"Droit, économie et gestion";"Non précisé";481
2012;"non permanents";"Masculin";"DOCT AVEC ENS";"Lettres et sciences humaines";"Non précisé";613
2012;"non permanents";"Masculin";"DOCT AVEC ENS";"Personnel des grands établissements";"Non précisé";10
2012;"non permanents";"Masculin";"DOCT AVEC ENS";"Pharmacie";"Non précisé";38
2012;"non permanents";"Masculin";"DOCT AVEC ENS";"Sciences";"Non précisé";3118
2012;"non permanents";"Masculin";"DOCT SANS ENS";"Droit, économie et gestion";"Non précisé";291
2012;"non permanents";"Masculin";"DOCT SANS ENS";"Lettres et sciences humaines";"Non précisé";439
2012;"non permanents";"Masculin";"DOCT SANS ENS";"Personnel des grands établissements";"Non précisé";1
2012;"non permanents";"Masculin";"DOCT SANS ENS";"Pharmacie";"Non précisé";70
2012;"non permanents";"Masculin";"DOCT SANS ENS";"Sciences";"Non précisé";2640
2012;"non permanents";"Masculin";"MCF ASS-INV";"Droit, économie et gestion";"Non précisé";567
2012;"non permanents";"Masculin";"MCF ASS-INV";"Lettres et sciences humaines";"Non précisé";405
2012;"non permanents";"Masculin";"MCF ASS-INV";"Pharmacie";"Non précisé";22
2012;"non permanents";"Masculin";"MCF ASS-INV";"Sciences";"Non précisé";296
2012;"non permanents";"Masculin";"PR ASS-INV";"Droit, économie et gestion";"Non précisé";361
2012;"non permanents";"Masculin";"PR ASS-INV";"Lettres et sciences humaines";"Non précisé";185
2012;"non permanents";"Masculin";"PR ASS-INV";"Personnel des grands établissements";"Non précisé";1
2012;"non permanents";"Masculin";"PR ASS-INV";"Pharmacie";"Non précisé";22
2012;"non permanents";"Masculin";"PR ASS-INV";"Sciences";"Non précisé";212
2012;"non permanents";"Non renseigné";"CONT 2D";"Droit, économie et gestion";"Non précisé";112
2012;"non permanents";"Non renseigné";"CONT 2D";"Lettres et sciences humaines";"Non précisé";389
2012;"non permanents";"Non renseigné";"CONT 2D";"Non spécifiée";"Non précisé";14
2012;"non permanents";"Non renseigné";"CONT 2D";"Personnel des grands établissements";"Non précisé";4
2012;"non permanents";"Non renseigné";"CONT 2D";"Sciences";"Non précisé";87
2012;"non permanents";"Non renseigné";"LECTEUR ET REP";"Lettres et sciences humaines";"Non précisé";870
2012;"non permanents";"Non renseigné";"MAITRE LANGUE";"Lettres et sciences humaines";"Non précisé";160
2012;"non permanents";"Non renseigné";"MCF ASS-INV";"Droit, économie et gestion";"Non précisé";103
2012;"non permanents";"Non renseigné";"MCF ASS-INV";"Lettres et sciences humaines";"Non précisé";39
2012;"non permanents";"Non renseigné";"MCF ASS-INV";"Non spécifiée";"Non précisé";90
2012;"non permanents";"Non renseigné";"MCF ASS-INV";"Pharmacie";"Non précisé";2
2012;"non permanents";"Non renseigné";"MCF ASS-INV";"Sciences";"Non précisé";161
2012;"non permanents";"Non renseigné";"PR ASS-INV";"Droit, économie et gestion";"Non précisé";684
2012;"non permanents";"Non renseigné";"PR ASS-INV";"Lettres et sciences humaines";"Non précisé";412
2012;"non permanents";"Non renseigné";"PR ASS-INV";"Non spécifiée";"Non précisé";262
2012;"non permanents";"Non renseigné";"PR ASS-INV";"Personnel des grands établissements";"Non précisé";30
2012;"non permanents";"Non renseigné";"PR ASS-INV";"Pharmacie";"Non précisé";11
2012;"non permanents";"Non renseigné";"PR ASS-INV";"Sciences";"Non précisé";823
2012;"titulaires";"Féminin";"AM2D";"Non spécifiée";"35 ans et moins";865
2012;"titulaires";"Féminin";"AM2D";"Non spécifiée";"36 à 55 ans";3637
2012;"titulaires";"Féminin";"AM2D";"Non spécifiée";"56 ans et plus";1206
2012;"titulaires";"Féminin";"MCF";"Droit, économie et gestion";"35 ans et moins";543
2012;"titulaires";"Féminin";"MCF";"Droit, économie et gestion";"36 à 55 ans";1661
2012;"titulaires";"Féminin";"MCF";"Droit, économie et gestion";"56 ans et plus";264
2012;"titulaires";"Féminin";"MCF";"Lettres et sciences humaines";"35 ans et moins";912
2012;"titulaires";"Féminin";"MCF";"Lettres et sciences humaines";"36 à 55 ans";4051
2012;"titulaires";"Féminin";"MCF";"Lettres et sciences humaines";"56 ans et plus";905
2012;"titulaires";"Féminin";"MCF";"Médecine";"35 ans et moins";63
2012;"titulaires";"Féminin";"MCF";"Médecine";"36 à 55 ans";499
2012;"titulaires";"Féminin";"MCF";"Médecine";"56 ans et plus";204
2012;"titulaires";"Féminin";"MCF";"Odontologie";"35 ans et moins";18
2012;"titulaires";"Féminin";"MCF";"Odontologie";"36 à 55 ans";84
2012;"titulaires";"Féminin";"MCF";"Odontologie";"56 ans et plus";27
2012;"titulaires";"Féminin";"MCF";"Personnel des grands établissements";"35 ans et moins";35
2012;"titulaires";"Féminin";"MCF";"Personnel des grands établissements";"36 à 55 ans";139
2012;"titulaires";"Féminin";"MCF";"Personnel des grands établissements";"56 ans et plus";19
2012;"titulaires";"Féminin";"MCF";"Pharmacie";"35 ans et moins";145
2012;"titulaires";"Féminin";"MCF";"Pharmacie";"36 à 55 ans";458
2012;"titulaires";"Féminin";"MCF";"Pharmacie";"56 ans et plus";123
2012;"titulaires";"Féminin";"MCF";"Sciences";"35 ans et moins";1338
2012;"titulaires";"Féminin";"MCF";"Sciences";"36 à 55 ans";3862
2012;"titulaires";"Féminin";"MCF";"Sciences";"56 ans et plus";355
2012;"titulaires";"Féminin";"PR";"Droit, économie et gestion";"35 ans et moins";44
2012;"titulaires";"Féminin";"PR";"Droit, économie et gestion";"36 à 55 ans";421
2012;"titulaires";"Féminin";"PR";"Droit, économie et gestion";"56 ans et plus";124
2012;"titulaires";"Féminin";"PR";"Lettres et sciences humaines";"35 ans et moins";1
2012;"titulaires";"Féminin";"PR";"Lettres et sciences humaines";"36 à 55 ans";857
2012;"titulaires";"Féminin";"PR";"Lettres et sciences humaines";"56 ans et plus";717
2012;"titulaires";"Féminin";"PR";"Médecine";"35 ans et moins";1
2012;"titulaires";"Féminin";"PR";"Médecine";"36 à 55 ans";403
2012;"titulaires";"Féminin";"PR";"Médecine";"56 ans et plus";204
2012;"titulaires";"Féminin";"PR";"Odontologie";"36 à 55 ans";25
