UAI,Etablissement,Rentrée,H.Total,HC.Total,HC.Titulaires,HC.Vacataires,HC_Payable.Total,HC.Format.HeuresEuros,Lien
0134009M,Aix-Marseille,2016,,NA,NA,NA,,,
0134009M,Aix-Marseille,2017,,NA,NA,NA,,,
0490970N,Angers,2014,,125060,52989,72071,,,
0490970N,Angers,2015,,126905,56909,69996,,,
0490970N,Angers,2016,,135010,60907,74103,,,
0490970N,Angers,2017,,139800,63406,76394,,,
0490970N,Angers,2018,,137154,62523,74632,,,
0490970N,Antilles,2018,,NA,NA,NA,,,
0333298F,Bordeaux,2014,,"201197,7512","110437,5458","90760,20533",,,
0333298F,Bordeaux,2015,,"239965,7785","125934,9792","114030,7993",,,
0333298F,Bordeaux,2016,,"240476,1905","128352,7697","112123,4208",,,
0333298F,Bordeaux,2017,,"220309,1041","113475,006","106834,098",,,
0333298F,Bordeaux,2018,,"220888,6742","109538,7588","111349,9155",,,
0333298F,Bordeaux,2019,,"227553,731","113112,7747","114440,9563",,,
,Bordeaux 1,2010,,NA,NA,NA,,,
,Bordeaux 2,2010,,NA,NA,NA,,,
,Bordeaux 4,2009,,NA,NA,NA,,,
,Bordeaux Segalen,2011,,NA,NA,NA,,,
0211237F,Bourgogne,2013,,171525,93824,77701,,,
0211237F,Bourgogne,2014,,172639,92155,80484,,,
0211237F,Bourgogne,2015,,172195,87318,84877,,,
0211237F,Bourgogne,2016,,179454,92959,86495,,,
0211237F,Bourgogne,2017,,175283,87088,88195,,,
0211237F,Bourgogne,2018,,166633,79508,87125,,,
0290346U,Brest,2006,,NA,NA,NA,,,
0561718N,Bretagne Sud,2017,,NA,NA,NA,,,
0561718N,Bretagne Sud,2018,,NA,NA,NA,,,
0561718N,Bretagne Sud,2019,,NA,NA,NA,,,
0141408E,Caen,2019,,"197512,6781","86905,57836","110607,0997",,,
0632035V,Clermont,2017,,NA,NA,NA,,,
7200664J,Corse,2017,,NA,NA,NA,,,
7200664J,Corse,2018,,NA,NA,NA,,,
7200664J,Corse,2019,,NA,NA,NA,,,
0911975C,Evry,2012,,134124,NA,NA,,,
0911975C,Evry,2013,,126766,NA,NA,,,
0911975C,Evry,2014,,118968,NA,NA,,,
0911975C,Evry,2015,,115424,NA,NA,,,
0911975C,Evry,2016,,119149,41566,77583,,,
0251215K,Franche-Comte,2011,,,,,,,
0251215K,Franche-Comte,2012,,,,,,,
0251215K,Franche-Comte,2013,,NA,NA,NA,,,
0251215K,Franche-Comte,2014,,NA,NA,NA,,,
0251215K,Franche-Comte,2015,,NA,NA,NA,,,
0251215K,Franche-Comte,2016,,NA,NA,NA,,,
0251215K,Franche-Comte,2017,,NA,NA,NA,,,
0251215K,Franche-Comte,2018,,NA,NA,NA,,,
0251215K,Franche-Comte,2019,,,,,,,
0772502B,Gustave Eiffel - Paris Est,2017,,89493,27760,61733,,,
0772502B,Gustave Eiffel - Paris Est,2018,,100459,33534,66925,,,
0772502B,Gustave Eiffel - Paris Est,2019,,92004,28257,63747,,,
0681166Y,Haute Alsace,2018,,94691,46517,48174,,,
9740478B,La Reunion,2003,,NA,NA,NA,,,
9740478B,La Reunion,2004,,NA,NA,NA,,,
9740478B,La Reunion,2005,,NA,NA,NA,,,
9740478B,La Reunion,2008,,NA,NA,NA,,,
9740478B,La Reunion,2009,,NA,NA,NA,,,
9740478B,La Reunion,2010,,"78832,14373",NA,NA,,,
9740478B,La Reunion,2011,,"80400,36666",NA,NA,,,
9740478B,La Reunion,2012,,"80492,64239",NA,NA,,,
9740478B,La Reunion,2013,,"83831,6793",NA,NA,,,
9740478B,La Reunion,2014,,"81026,64385",NA,NA,,,
9740478B,La Reunion,2015,,"80911,4153",NA,NA,,,
9740478B,La Reunion,2016,,"63424,9757",NA,NA,,,
9740478B,La Reunion,2018,,"72664,45303",NA,NA,,,
0171463Y,La Rochelle,2015,,54640,26374,28266,,,
0171463Y,La Rochelle,2016,,58722,29083,29639,,,
0171463Y,La Rochelle,2017,,55669,27228,28441,,,
0171463Y,La Rochelle,2018,,60081,28032,30613,,,
0762762P,Le Havre,2009,,66871,NA,NA,,,
0762762P,Le Havre,2010,,66717,NA,NA,,,
0762762P,Le Havre,2013,,58902,NA,NA,,,
0762762P,Le Havre,2014,,61275,NA,NA,,,
0762762P,Le Havre,2015,,63958,NA,NA,,,
0762762P,Le Havre,2016,,66054,NA,NA,,,
0762762P,Le Havre,2017,,67948,NA,NA,,,
0762762P,Le Havre,2018,,67644,NA,NA,,,
0762762P,Le Mans,2014,,72503,32462,40041,,,
0762762P,Le Mans,2015,,69123,31685,37438,,,
0762762P,Le Mans,2016,,70861,33058,37803,,,
0762762P,Le Mans,2017,,69866,34807,35059,,,
0762762P,Le Mans,2018,,70246,34953,35293,,,
,Lettres Sorbonne,2013,,NA,NA,NA,,,
,Lettres Sorbonne,2015,,NA,NA,NA,,,
0597065J,Lille,2018,,392528,197177,195352,,,
,Lille 1,2013,,,,,,,
,Lille 1,2016,,"163291,6181",NA,NA,,,
,Lille 2,2016,,"117153,1584",NA,NA,,,
,Lille 3,2016,,"88405,41788",NA,NA,,,
0870669E,Limoges,2017,,120888,55497,65391,,,
0870669E,Limoges,2018,,119469,54671,64798,,,
0542493S,Lorraine,2014,,"367108,7754","192018,7754",175090,,,
0542493S,Lorraine,2015,,"374454,8032","196442,8032",178012,,,
0542493S,Lorraine,2016,,"389510,7872","201041,7872",188469,,,
0542493S,Lorraine,2017,,"391691,6687","200995,6687",190696,,,
0542493S,Lorraine,2018,,"403480,8259","198041,8259",205439,,,
0542493S,Lorraine,2019,,"484726,2497","245021,3958","239704,8539",,,
0691774D,Lyon 1,2002,,NA,NA,NA,,,https://www.univ-lyon1.fr/medias/fichier/bilan-social-2002-1133511448358_1428930210337-pdf
0691774D,Lyon 1,2003,,NA,NA,NA,,,https://www.univ-lyon1.fr/medias/fichier/bilan-social2003-1133511087590_1428930187672-pdf
0691774D,Lyon 1,2004,,NA,NA,NA,,,https://www.univ-lyon1.fr/medias/fichier/bilan-social-2004-1134716668967_1428930171456-pdf
0691774D,Lyon 1,2005,,NA,NA,NA,,,https://www.univ-lyon1.fr/medias/fichier/bilan-social-2005_1428930072641-pdf
0691774D,Lyon 1,2006,,NA,NA,NA,,,https://www.univ-lyon1.fr/medias/fichier/bilan-social-2006_1428930050221-pdf
0691774D,Lyon 1,2007,,NA,NA,NA,,,https://www.univ-lyon1.fr/medias/fichier/bilan-social-2007_1428930031964-pdf
0691774D,Lyon 1,2008,,NA,NA,NA,,,https://www.univ-lyon1.fr/medias/fichier/bilan-social-2008_1428930012359-pdf
0691774D,Lyon 1,2009,,NA,NA,NA,,,https://www.univ-lyon1.fr/medias/fichier/bilansocial-2009_1428927435766-pdf
0691774D,Lyon 1,2010,,NA,NA,NA,,,https://www.univ-lyon1.fr/medias/fichier/bilan-social-2010_1428927421528-pdf
0691774D,Lyon 1,2011,,187928,94419,93509,,,https://www.univ-lyon1.fr/medias/fichier/bilan-social-2011_1428927411008-pdf
