"Pays_Code";"Pays";"Mesure";"Unité";"Multiplicateur";"Base";"Date";"Valeur";"Statut"
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1981;33710,89211;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1982;36045,71735;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1983;37206,80546;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1984;39479,22981;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1985;41200,27394;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1986;41863,06327;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1987;43777,15614;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1988;45668,05055;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1989;48636,89675;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1990;51865,15007;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1991;52532,37942;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1992;53476,25703;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1993;54006,51638;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1994;54064,00824;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1995;54523,50561;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1996;54864,9469;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1998;54835,8823;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1999;57052,21963;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2001;61484,29123;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2002;63244,57888;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2003;62200,74836;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2005;62903,00942;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2006;64525,63701;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2007;65348,0304;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2008;66744,06391;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2009;69544,82486;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2011;71839,98049;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2012;73288,44699;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2013;74062,67076;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2015;75272,17383;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2016;75942,45133;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2017;76811,55714;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2018;78070,55124;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2019;79386,40394;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2020;76072,64334;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2021;79112,35661;"  "
"FRA";"France";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2022;81547,80337;"  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1995;77118,18793;"  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1997;81316,35099;"  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1999;90466,80492;"  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2000;95420,98867;"  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2001;96683,69979;"  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2002;97653,76033;"  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2003;98497,85291;"  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2004;98029,05008;"  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2005;98892,26732;"  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2006;103903,5083;"  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2007;106410,4967;"  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2008;114133,1147;"  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2009;112738,3281;"  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2010;116855,3078;"  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2011;124594,3246;"  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2012;128586,1145;"  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2013;127056,7782;"  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2014;131759,0277;"  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2015;136471,0385;"  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2016;139929,5898;"  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2017;148934,1493;"  "
