"Pays_Code";"Pays";"Mesure";"Unité";"Multiplicateur";"Base";"Date";"Valeur";"Statut";"Type";"Pays_code";"Valeur.brute";"country";"iso2c";"iso3c";"NY.GDP.DEFL.ZS.AD";"deflator"
"FRA";"France";"Dépenses intérieures de R-D de l’enseignement supérieur (DIRDES)";"Dollars des É-U, PPA convertis";"Millions";2020;2011;15048,11713;"  ";"Pays";NA;NA;NA;NA;NA;NA;NA
"FRA";"France";"Dépenses intérieures de R-D de l’enseignement supérieur (DIRDES)";"Dollars des É-U, PPA convertis";"Millions";2020;2012;15264,83968;"  ";"Pays";NA;NA;NA;NA;NA;NA;NA
"FRA";"France";"Dépenses intérieures de R-D de l’enseignement supérieur (DIRDES)";"Dollars des É-U, PPA convertis";"Millions";2020;2013;15464,13547;"  ";"Pays";NA;NA;NA;NA;NA;NA;NA
"FRA";"France";"Dépenses intérieures de R-D de l’enseignement supérieur (DIRDES)";"Dollars des É-U, PPA convertis";"Millions";2020;2015;15647,14798;"  ";"Pays";NA;NA;NA;NA;NA;NA;NA
"FRA";"France";"Dépenses intérieures de R-D de l’enseignement supérieur (DIRDES)";"Dollars des É-U, PPA convertis";"Millions";2020;2016;15599,65846;"  ";"Pays";NA;NA;NA;NA;NA;NA;NA
"FRA";"France";"Dépenses intérieures de R-D de l’enseignement supérieur (DIRDES)";"Dollars des É-U, PPA convertis";"Millions";2020;2017;15850,47394;"  ";"Pays";NA;NA;NA;NA;NA;NA;NA
"FRA";"France";"Dépenses intérieures de R-D de l’enseignement supérieur (DIRDES)";"Dollars des É-U, PPA convertis";"Millions";2020;2018;15964,71776;"  ";"Pays";NA;NA;NA;NA;NA;NA;NA
"FRA";"France";"Dépenses intérieures de R-D de l’enseignement supérieur (DIRDES)";"Dollars des É-U, PPA convertis";"Millions";2020;2019;15961,19936;"  ";"Pays";NA;NA;NA;NA;NA;NA;NA
"FRA";"France";"Dépenses intérieures de R-D de l’enseignement supérieur (DIRDES)";"Dollars des É-U, PPA convertis";"Millions";2020;2020;15609,13951;"  ";"Pays";NA;NA;NA;NA;NA;NA;NA
"FRA";"France";"Dépenses intérieures de R-D de l’enseignement supérieur (DIRDES)";"Dollars des É-U, PPA convertis";"Millions";2020;2021;16205,26646;"  ";"Pays";NA;NA;NA;NA;NA;NA;NA
"FRA";"France";"Dépenses intérieures de R-D de l’enseignement supérieur (DIRDES)";"Dollars des É-U, PPA convertis";"Millions";2020;2022;16606,05021;"  ";"Pays";NA;NA;NA;NA;NA;NA;NA
"FRA";"France";"Dépenses intérieures de R-D de l’enseignement supérieur (DIRDES)";"Dollars des É-U, PPA convertis";"Millions";2020;2023;16754,32203;"Valeur provisoire  ";"Pays";NA;NA;NA;NA;NA;NA;NA
"FRA";"France";"Dépenses intérieures de R-D de l’enseignement supérieur (DIRDES)";"Dollars des É-U, PPA convertis";"Millions";2020;2024;16741,42097;"Valeur provisoire  ";"Pays";NA;NA;NA;NA;NA;NA;NA
"FRA";"France";"Dépenses intérieures de R-D de l’enseignement supérieur (DIRDES)";"Dollars des É-U, PPA convertis";"Millions";2020;2014;16828,87501;"Rupture de série  ";"Pays";NA;NA;NA;NA;NA;NA;NA
NA;"Amazon";NA;NA;NA;NA;2011;3350,36189608627;NA;"GAFAM";"AMZN";2909;"United States";"US";"USA";91,4810985661264;1,15172289312007
NA;"Alphabet";NA;NA;NA;NA;2011;5945,19357428578;NA;"GAFAM";"GOOG";5162;"United States";"US";"USA";91,4810985661264;1,15172289312007
NA;"Meta-platforms";NA;NA;NA;NA;2011;446,868482530586;NA;"GAFAM";"META";388;"United States";"US";"USA";91,4810985661264;1,15172289312007
NA;"Apple";NA;NA;NA;NA;2011;2797,53490738864;NA;"GAFAM";"AAPL";2429;"United States";"US";"USA";91,4810985661264;1,15172289312007
NA;"Microsoft";NA;NA;NA;NA;2011;10415,0301224848;NA;"GAFAM";"MSFT";9043;"United States";"US";"USA";91,4810985661264;1,15172289312007
NA;"Amazon";NA;NA;NA;NA;2012;5160,36870788969;NA;"GAFAM";"AMZN";4564;"United States";"US";"USA";93,1846275007297;1,13066799033517
NA;"Alphabet";NA;NA;NA;NA;2012;6877,85338520881;NA;"GAFAM";"GOOG";6083;"United States";"US";"USA";93,1846275007297;1,13066799033517
NA;"Meta-platforms";NA;NA;NA;NA;2012;1581,8045184789;NA;"GAFAM";"META";1399;"United States";"US";"USA";93,1846275007297;1,13066799033517
