"date";"type";"indicateur";"valeur"
2010-01-01;"SCSPvsMS";"SCSPvsMS";271335958,56
2011-01-01;"SCSPvsMS";"SCSPvsMS";306709886,94
2012-01-01;"SCSPvsMS";"SCSPvsMS";293058683,75
2013-01-01;"SCSPvsMS";"SCSPvsMS";305639051,125179
2014-01-01;"SCSPvsMS";"SCSPvsMS";250432646,753304
2015-01-01;"SCSPvsMS";"SCSPvsMS";154341054,910002
2016-01-01;"SCSPvsMS";"SCSPvsMS";89529051
2017-01-01;"SCSPvsMS";"SCSPvsMS";202957975
2018-01-01;"SCSPvsMS";"SCSPvsMS";411814105,07
2019-01-01;"SCSPvsMS";"SCSPvsMS";205848703
2020-01-01;"SCSPvsMS";"SCSPvsMS";301391311
2021-01-01;"SCSPvsMS";"SCSPvsMS";229749462
2022-01-01;"SCSPvsMS";"SCSPvsMS";54366711,7800007
2023-01-01;"SCSPvsMS";"SCSPvsMS";-74155942,3799992
2024-01-01;"SCSPvsMS";"SCSPvsMS";-435006558
2025-01-01;"SCSPvsMS";"SCSPvsMS";-1361200994
2023-07-01;"Point d'indice";"Point d'indice";5907,34
2022-07-01;"Point d'indice";"Point d'indice";5820,04
2017-02-01;"Point d'indice";"Point d'indice";5623,23
2016-07-01;"Point d'indice";"Point d'indice";5589,69
2010-07-01;"Point d'indice";"Point d'indice";5556,35
2009-10-01;"Point d'indice";"Point d'indice";5528,71
2009-07-01;"Point d'indice";"Point d'indice";5512,17
2008-10-01;"Point d'indice";"Point d'indice";5484,75
2008-03-01;"Point d'indice";"Point d'indice";5468,34
2007-02-01;"Point d'indice";"Point d'indice";5441,13
2006-07-01;"Point d'indice";"Point d'indice";5397,95
2005-11-01;"Point d'indice";"Point d'indice";5371,1
2005-07-01;"Point d'indice";"Point d'indice";5328,47
2005-02-01;"Point d'indice";"Point d'indice";5301,96
2004-01-01;"Point d'indice";"Point d'indice";5275,58
2002-12-01;"Point d'indice";"Point d'indice";5249,33
2002-03-01;"Point d'indice";"Point d'indice";5212,84
2002-01-01;"Point d'indice";"Point d'indice";5181,75
2010-01-01;"Pensions";"Taux CAS Pension";62,14
2011-01-01;"Pensions";"Taux CAS Pension";65,39
2012-01-01;"Pensions";"Taux CAS Pension";68,59
2013-01-01;"Pensions";"Taux CAS Pension";74,28
2014-01-01;"Pensions";"Taux CAS Pension";74,28
2015-01-01;"Pensions";"Taux CAS Pension";74,28
2016-01-01;"Pensions";"Taux CAS Pension";74,28
2017-01-01;"Pensions";"Taux CAS Pension";74,28
2018-01-01;"Pensions";"Taux CAS Pension";74,28
2019-01-01;"Pensions";"Taux CAS Pension";74,28
2020-01-01;"Pensions";"Taux CAS Pension";74,28
2021-01-01;"Pensions";"Taux CAS Pension";74,28
2022-01-01;"Pensions";"Taux CAS Pension";74,28
2023-01-01;"Pensions";"Taux CAS Pension";74,28
2024-01-01;"Pensions";"Taux CAS Pension";74,28
2025-01-01;"Pensions";"Taux CAS Pension";78,28
2026-01-01;"Pensions";"Taux CAS Pension";82,28
2010-01-01;"Pensions";"Taux cotisation pensions contractuels";13,28
2011-01-01;"Pensions";"Taux cotisation pensions contractuels";13,31
2012-01-01;"Pensions";"Taux cotisation pensions contractuels";13,43
2013-01-01;"Pensions";"Taux cotisation pensions contractuels";13,68
2014-01-01;"Pensions";"Taux cotisation pensions contractuels";14
2015-01-01;"Pensions";"Taux cotisation pensions contractuels";14,26
2016-01-01;"Pensions";"Taux cotisation pensions contractuels";14,48
2017-01-01;"Pensions";"Taux cotisation pensions contractuels";14,65
2018-01-01;"Pensions";"Taux cotisation pensions contractuels";14,65
2019-01-01;"Pensions";"Taux cotisation pensions contractuels";14,65
2020-01-01;"Pensions";"Taux cotisation pensions contractuels";14,65
2021-01-01;"Pensions";"Taux cotisation pensions contractuels";14,65
2022-01-01;"Pensions";"Taux cotisation pensions contractuels";14,65
2023-01-01;"Pensions";"Taux cotisation pensions contractuels";14,65
2024-01-01;"Pensions";"Taux cotisation pensions contractuels";14,77
2025-01-01;"Pensions";"Taux cotisation pensions contractuels";14,77
2026-01-01;"Pensions";"Taux cotisation pensions contractuels";14,93
