"Groupe";"pid";"Etablissement";"Groupe.détaillé";"Comparable";"Rentrée";"kpi.ENS.P.effectif";"kpi.ENS.S.titulaires";"kpi.ENS.S.EC";"kpi.ENS.S.DocATER";"kpi.ENS.S.contractuels";"aggregeable";"kpi.ETU.P.effectif";"kpi.ETU.S.cycle1_L";"kpi.ETU.S.cycle2_M";"kpi.ETU.S.cycle3_D";"kpi.ETU.S.DU_DE";"kpi.BIA.P.effectif";"kpi.BIA.S.A";"kpi.BIA.S.B";"kpi.BIA.S.C";"kpi.BIA.S.titulaires";"kpi.FIN.P.ressources";"kpi.FIN.S.masseSalariale";"kpi.FIN.S.SCSP";"kpi.FIN.S.recettesFormation";"kpi.FIN.S.recettesRecherche";"kpi.FIN.S.investissements";"kpi.IMO.P.batiments";"kpi.IMO.S.état_satisfaisant";"kpi.IMO.S.énergie_ABC";"kpi.IMO.S.GES_ABC";"kpi.IMO.S.propriété_propre";"kpi.K.dotPres";"kpi.K.resPetu";"kpi.K.forPetu";"kpi.K.recPect";"kpi.K.ensPetu";"kpi.K.titPper";"kpi.K.biaPper";"kpi.K.dotPetu";"diff";"date"
"Ensemble";"Ensemble";"Ensemble";NA;NA;2009;NA;NA;NA;NA;NA;NA;1522878;846881;603137;72860;83590;NA;NA;NA;NA;NA;7749887798,39;5584264999,72;5855600958,28;422349409,93;191768186,13;646868592,32;NA;NA;NA;NA;NA;0,755572352866382;5344,68385798659;277,336339437565;NA;NA;NA;NA;4038,2953579059;271335958,56;2010-01-01
"Ensemble";"Ensemble";"Ensemble";NA;NA;2010;69086;69086;56211;NA;NA;NA;1517695;856998;588272;72425;88377;NA;NA;NA;NA;NA;9599010053,58;7417318795,55;7724028682,49;525880929,03;190838455;641815786,21;NA;NA;NA;NA;NA;0,804669298123017;6641,67252733399;346,499744039481;3395,03753713686;4,78014488642261;1;NA;5344,34997093277;306709886,94;2011-01-01
"Ensemble";"Ensemble";"Ensemble";NA;NA;2011;69541;69541;56418;NA;NA;NA;1529764;866840;591271;71653;91501;NA;NA;NA;NA;NA;12010804564,26;9389956970,6;9683015654,35;634633680,17;209175044,95;694378359,99;NA;NA;NA;NA;NA;0,806192091674134;8237,23609811599;414,857246065406;3707,59411801198;4,76925282094436;1;NA;6640,79459955381;293058683,75;2012-01-01
"Ensemble";"Ensemble";"Ensemble";NA;NA;2012;95587;69622;61974;18940;5995;NA;1564626;886513;607286;70827;91981;NA;NA;NA;NA;NA;12101099631,46;9577730131,11482;9883369182,24;675544503,41;284090573,54;633623612,07;NA;NA;NA;NA;NA;0,8167331468411;8100,88882872461;431,761010880555;4584,02835931197;4,66073414160807;0,7283626434557;NA;6616,26442529417;305639051,125179;2013-01-01
"Ensemble";"Ensemble";"Ensemble";NA;NA;2013;95892;69934;62174;19059;5893;NA;1603205;907582;625368;70255;93204;NA;NA;NA;NA;NA;14052761423,03;11028556014,1467;11278988660,9;601104364,35;362437854,05;897816105,05;NA;NA;NA;NA;NA;0,802617245206748;9167,13619037151;374,939177678463;5829,41187715122;4,56205355686748;0,729299628749009;NA;7357,70159555106;250432646,753304;2014-01-01
"Ensemble";"Ensemble";"Ensemble";NA;NA;2014;95654;69973;61718;19138;5567;NA;1636490;927086;640158;69246;97002;NA;NA;NA;NA;NA;14708994922;11673911218,2;11828252273,11;568254151,66;350914573,51;997153208,2;NA;NA;NA;NA;NA;0,804150952246144;9385,26159423804;347,239611400009;5685,77357513205;4,46471640663483;0,731521943671984;NA;7547,16704808568;154341054,910002;2015-01-01
"Ensemble";"Ensemble";"Ensemble";NA;NA;2015;96338;69628;57413;19581;1813;NA;1680582;953954;658348;68280;105067;93909;30220;21792;41897;55954;15150912710;11926248123;12015777174;NA;NA;1215884890;NA;NA;NA;NA;NA;0,793072826963703;9397,06873154037;NA;NA;4,31854578112537;0,722746994955262;0,493616193685052;7452,55986409494;89529051;2016-01-01
"Ensemble";"Ensemble";"Ensemble";NA;NA;2016;97425;69643;57901;20455;2176;NA;1700597;969871;662532;68194;103607;95890;31642;22029;42219;56225;14881377485;11709505112;11912463087;NA;NA;1880720169;6400;3409;1355;1820;435;0,800494651722088;9116,23997566777;NA;NA;4,266287185211;0,714837054144214;0,496029795928924;7297,50134433715;202957975;2017-01-01
"Ensemble";"Ensemble";"Ensemble";NA;NA;2017;96477;68520;57143;20495;2455;NA;1720410;983561;670529;66320;103252;92993;32288;22268;38437;55903;15859323747,31;12258382474,04;12670196579,11;937437623;813822708;1630699091,92;6418;3443;1512;2089;447;0,798911528699896;9587,9448804539;544,891986793846;14241,8617853455;4,14245899558065;0,710221088964209;0,490805932337573;7659,91970153377;411814105,07;2018-01-01
"Ensemble";"Ensemble";"Ensemble";NA;NA;2018;96165;68585;60795;20109;6586;NA;1750681;1008969;676476;65236;104075;94076;33790;22801;37485;57069;16114497454;12414837962;12620686665;947226972;853558932;1713962790;6439;3622;1657;2348;476;0,783188349560802;9560,97496744183;541,062005014049;14039,9528250679;4,06925174063823;0,713201268652836;0,494509595723319;7488,04420494291;205848703;2019-01-01
